department,total_count,terminated_count,termination_rate
Marketing,480,45,10.666666666666666
"Business Development",1569,151,10.390728476821192
Services,1618,175,9.245714285714286
Support,903,98,9.214285714285714
"Product Management",623,69,9.028985507246377
Engineering,6387,716,8.920391061452515
Sales,1745,197,8.857868020304569
Accounting,3192,363,8.793388429752065
"Human Resources",1727,199,8.678391959798995
"Research and Development",1032,122,8.459016393442623
Training,1622,194,8.360824742268042
Legal,299,40,7.475
Auditing,50,9,5.555555555555555
